data_name,survey,old_n,new_n,diff
galah,iNaturalist research-grade observations,270,1,-269
galah,,5682,717,-4965
galah,Australian Bird & Bat Banding Scheme,184,,
galah,MALLEE SURVEY,3,,
galah,Murray Mallee Survey,10,,
galah,iNaturalist observations,188,,
galah,Bladensburg National Park,,2,
galah,Coastal Bird Atlas,,1,
galah,Cocatoo Station Homestead (45km SE of Taroom),,1,
galah,Community Nature Conservation,,1,
galah,DPIE Default Sightings,,1,
galah,Dawson River Floodplain Surveys,,11,
galah,Diamantina National Park,,4,
galah,EGIS Consulting (2001),,1,
galah,Environmental flow requirements of Aust arid zone rivers,,1,
galah,Fauna Survey,,12,
galah,Incidental NatureSearch Records - Cairns/Tablelands,,2,
galah,Kutt (Unpubl.data),,1,
galah,Lochern National Park,,1,
galah,Miscellaneous Fauna Data,,63,
galah,QPWS Estate Incidental & Summarised Records,,1,
galah,Rod Hobson's incidental records,,1,
galah,Terrestrial Aerial Surveys,,28,
galah,Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy,,2,
